CMC,WSS-Agg,BURDEN,VT,SKAT-O,ACAT-V,LRT-q
0.629075851265297,0.580717865020099,0.605001176913386,0.0535946405359464,0.437658745098606,0.280240211944118,0.407559244075592
0.328822415459668,0.694072716901179,0.383976061580257,0.147385261473853,0.59097595021349,0.770381380617977,0.274772522747725
0.513297717429371,0.308494450894752,0.287901436721009,0.164083591640836,0.46773066544178,0.652133681162037,0.173582641735826
0.00369029529007996,0.00512918457064598,0.00771214690629627,0.985101489851015,0.0105991109199634,0.015664879039712,0.206879312068793
0.425839347045702,0.913262914684509,0.449794766044574,0.119388061193881,0.510731960548637,0.175188690174597,0.635736426357364
0.749515434744623,0.843322517175264,0.775641144773474,0.822017798220178,0.799951026944404,0.959833524954179,0.366063393660634
0.229809927342665,0.288839377814324,0.361076622551355,0.476152384761524,0.552185314769277,0.858831808453501,0.0132986701329867
0.356675660984123,0.259398766545627,0.299744008955887,0.886011398860114,0.478429147086873,0.897011583671838,0.917008299170083
0.605947225281344,0.938777288223453,0.692505632695981,0.744825517448255,0.114056257261573,0.0531700350913156,0.0764923507649235
0.567370895986371,0.640311876833531,0.794080282574823,0.0776922307769223,0.824466175047725,0.764825764939829,0.0377962203779622
0.331845608844755,0.197954337240318,0.361157285141992,0.492950704929507,0.135378529974691,0.149674802859813,0.775122487751225
0.576467406604794,0.300228294665729,0.433386900742047,0.653334666533347,0.644077380365909,0.696622473670331,0.634436556344366
0.23582803449221,0.534182607349285,0.315635096456939,0.261173882611739,0.494576390794766,0.878082456399953,0.87961203879612
0.369353169301698,0.591101744553876,0.35644219713232,0.865213478652135,0.564641997959921,0.580959734521573,0.798020197980202
0.403896545667787,0.63229161853422,0.481519549616829,0.875612438756124,0.705918367287066,0.690823496684221,0.296670332966703
0.725653924085125,0.324220764730093,0.651117607543085,0.819118088191181,0.611092075112008,0.589385672166672,0.947505249475053
0.420818956557971,0.134596816588463,0.428048544370242,0.350764923507649,0.246831774997551,0.463062018060533,0.265373462653735
0.831733181702017,0.580025382322731,0.894334200846524,0.177982201779822,1,0.436793799939365,0.921307869213079
0.844737216258349,0.953228299734346,0.86938496448475,0.429057094290571,0.798151133713029,0.604247537584454,0.656034396560344
0.340260958743687,0.89802077449215,0.371952234704258,0.134686531346865,0.581816661350994,0.390938808143228,0.618238176182382
0.3043942535645,0.53055754258245,0.123700113277459,0.0242975702429757,0.214161704033633,0.100001432679109,0.0416958304169583
0.421895409309526,0.622180922461245,0.583820108618444,0.498250174982502,0.796838696019193,0.82761796687167,0.881311868813119
0.96162337689469,0.292050125432029,0.91918042908437,0.957204279572043,0.188605882823866,0.193898710545807,0.1996800319968
0.00156379885302136,0.0143474158110992,0.00696186899209827,0.997400259974003,0.0127835523721375,0.0827286563504099,0.168183181681832
